Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Rewards,Cash Back,2025-03-22,Online,CASH BACK,CASH BACK REDEMPTION REF 135105069,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,53.97
Home,Mortgage,2025-06-07,Online,PENNYMAC,PENNYMAC         CASH Jun 25 8769784803-0008 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-2124.33
Transport,Tolls,2025-03-02,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-17.89
Food,Groceries,08/26/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,VISA CARD ...9876,-104.73
Transfers,Zelle,2025-11-25,Online,ZELLE,ZELLE TO  JOHN DOE ON 11/25 REF # 5MGGKRNSYT3F CAR,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-218.16
Food,Groceries,04/28/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 04/28 COSTCO GAS #1652 DENVER CO,DEBIT CARD ...7761,-79.08
Food,Groceries,2025-07-01,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 07/01 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-266.83
Rewards,Cash Back,01/14/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 109015987,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,75.72
Dining,Fast Food,2025-11-28,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 11/28 CHIPOTLE 0871 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-25.96
Food,Convenience,2025-09-06,Aurora CO,7-ELEVEN,PURCHASE  AUTHORIZED  ON  09/06  7-ELEVEN  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-5.52
Cash,ATM,09/08/2025,Aurora CO,ATM WITHDRAWAL,ATM  WITHDRAWAL  AUTHORIZED  ON  09/08  3521  N  Tower  Rd  Aurora  CO  000,DEBIT CARD ...7761,-123.94
Dining,Fast Food,03/03/2025,Aurora CO,CHIPOTLE,  PURCHASE  AUTHORIZED  ON  03/03  CHIPOTLE  0871  AURORA  CO   ,VISA CARD ...9876,-26.43
Food,Groceries,07/23/2025,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  07/23  COSTCO  GAS  #1652  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-62.71
Food,Groceries,10/11/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 10/11 COSTCO GAS #1652 DENVER CO,VISA CARD ...9876,-38.47
Dining,Fast Food,2025-07-21,Aurora CO,CHIPOTLE,PURCHASE  AUTHORIZED  ON  07/21  CHIPOTLE  0871  AURORA  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-15.91
Education,Student Loan,07/22/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250722 T2J4NRB2Y89     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-90.91
Utilities,Mobile,01/11/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,DEBIT CARD ...7761,-20.06
Cash,ATM,06/29/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 06/29 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-38.26
Home,Mortgage,01/23/2025,Online,PENNYMAC,PENNYMAC                  CASH  Jan  25  8045822897-0007  CUSTOMER  NAME,DEBIT CARD ...7761,-2151.79
Dining,Fast Food,2025-12-20,Aurora CO,CHIPOTLE,PURCHASE  AUTHORIZED  ON  12/20  CHIPOTLE  0871  AURORA  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-8.38
Utilities,Mobile,2025-12-13,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-44.22
Dining,Fast Food,12/02/2025,Aurora CO,CHIPOTLE,PURCHASE  AUTHORIZED  ON  12/02  CHIPOTLE  0871  AURORA  CO,VISA CARD ...9876,-13.22
Food,Groceries,2025-06-02,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  06/02  COSTCO  GAS  #1652  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-52.36
Transfers,Zelle,2025-03-18,Online,ZELLE,ZELLE TO  SAM TAYLOR ON 03/18 REF # H337T284LHJD GROCERIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-355.20
Dining,Fast Food,09/23/2025,Aurora CO,CHIPOTLE,PURCHASE  AUTHORIZED  ON  09/23  CHIPOTLE  0871  AURORA  CO,DEBIT CARD ...7761,-19.12
Utilities,Internet,04/07/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250407 7J9AD58  CUSTOMER NAME,VISA CARD ...9876,-134.42
Transport,Tolls,08/20/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-11.86
Transport,Tolls,08/17/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,DEBIT CARD ...7761,-16.47
Utilities,Mobile,03/11/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,DEBIT CARD ...7761,-91.71
Online,Shopping,11/27/2025,Online,AMAZON,AMAZON MKTPL*JNSEEBB3PC Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-135.48
Online,Shopping,2025-04-28,Online,AMAZON,AMAZON MKTPL*TPKMLZHQ4X Amzn.com/bill WA,DEBIT CARD ...7761,-84.75
Rewards,Cash Back,01/01/2025,Online,CASH BACK,  CASH BACK REDEMPTION REF 180563579   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,44.15
Food,Groceries,2025-07-16,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 07/16 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-61.84
Education,Student Loan,06/30/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250630 RRSPQNRYKGH     CUSTOMER NAME,VISA CARD ...9876,-339.30
Transfers,Zelle,2025-11-10,Online,ZELLE,ZELLE TO  JOHN DOE ON 11/10 REF # 3GLDPS8G6XSZ CAR,DEBIT CARD ...7761,-177.35
Cash,ATM,02/06/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 02/06 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-49.16
Food,Groceries,06/26/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,VISA CARD ...9876,-88.70
Food,Groceries,2025-01-29,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,DEBIT CARD ...7761,-141.41
Food,Convenience,2025-12-19,Aurora CO,7-ELEVEN,  PURCHASE AUTHORIZED ON 12/19 7-ELEVEN BOULDER CO   ,DEBIT CARD ...7761,-8.05
Food,Groceries,11/12/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 11/12 COSTCO GAS #1652 DENVER CO,VISA CARD ...9876,-56.74
Cash,ATM,10/19/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 10/19 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-152.17
Food,Convenience,06/06/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 06/06 7-ELEVEN DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-17.81
Transport,Tolls,07/01/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-5.78
Education,Student Loan,2025-01-08,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250108 G67CR3C2DNU     CUSTOMER NAME,DEBIT CARD ...7761,-431.57
Transfers,Online Transfer,2025-11-10,Online,,ONLINE TRANSFER REF KCVXFDG4MLUM7ZCFVW TO SAVINGS,DEBIT CARD ...7761,-258.27
Food,Groceries,05/30/2025,Denver CO,COSTCO WHSE,  PURCHASE AUTHORIZED ON 05/30 COSTCO WHSE #1652 DENVER CO   ,VISA CARD ...9876,-91.13
Dining,Fast Food,2025-10-12,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 10/12 CHIPOTLE 0871 AURORA CO,VISA CARD ...9876,-12.83
Food,Groceries,05/20/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 05/20 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-43.07
Cash,ATM,02/24/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 02/24 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-120.11
Cash,ATM,11/17/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 11/17 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-148.12
Dining,Fast Food,05/29/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 05/29 CHICK-FIL-A #03255 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-6.67
Rewards,Cash Back,11/23/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 165997780,DEBIT CARD ...7761,76.71
Transfers,Zelle,02/25/2025,Online,ZELLE,ZELLE  TO    NOAH  WILSON  ON  02/25  REF  #  HYXV3DFZXF7U  THANK  YOU,VISA CARD ...9876,-252.47
Home,Mortgage,01/09/2025,Online,PENNYMAC,  PENNYMAC                  CASH  Jan  25  8638852124-0004  CUSTOMER  NAME   ,VISA CARD ...9876,-2071.43
Transfers,Zelle,12/21/2025,Online,ZELLE,  ZELLE TO  JOHN DOE ON 12/21 REF # DZUP5SX7CGDM GROCERIES   ,DEBIT CARD ...7761,-108.65
Education,Student Loan,03/16/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250316 774LXQULLQF     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-423.32
Dining,Fast Food,03/24/2025,Aurora CO,CHICK-FIL-A,  PURCHASE AUTHORIZED ON 03/24 CHICK-FIL-A #03255 AURORA CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-22.30
Food,Groceries,2025-09-12,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,DEBIT CARD ...7761,-158.50
Food,Groceries,01/03/2025,Denver CO,SPROUTS,  SPROUTS FARMERS MAR DENVER CO   ,DEBIT CARD ...7761,-119.33
Education,Student Loan,11/24/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 251124 V8HU4M9RBHT     CUSTOMER NAME,VISA CARD ...9876,-233.37
Transport,Tolls,2025-03-15,Denver CO,E 470 EXPRESS TOLLS,  E 470 EXPRESS TOLLS 303-5373470 CO   ,VISA CARD ...9876,-4.19
Transport,Tolls,06/30/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-15.68
Utilities,Internet,06/23/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250623 39TK7GH  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-107.60
Rewards,Cash Back,2025-12-17,Online,CASH BACK,CASH BACK REDEMPTION REF 166699729,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,40.69
Rewards,Cash Back,04/20/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 186828407,VISA CARD ...9876,24.89
Bills,Insurance,05/23/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-163.09
Utilities,Mobile,06/02/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,VISA CARD ...9876,-97.35
Transport,Tolls,03/29/2025,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,DEBIT CARD ...7761,-2.23
Food,Groceries,06/10/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  06/10  KING  SOOPERS  #0083  DENVER  CO,DEBIT CARD ...7761,-215.49
Bills,Insurance,2025-11-01,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-112.71
Transfers,Online Transfer,08/07/2025,Online,,ONLINE TRANSFER REF Z3VFJJANHBNBP8KR5N TO SAVINGS,DEBIT CARD ...7761,-362.69
Food,Groceries,03/27/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 03/27 KING SOOPERS #0083 DENVER CO,DEBIT CARD ...7761,-165.14
Utilities,Internet,2025-10-13,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251013 QHQ9SXY  CUSTOMER NAME,DEBIT CARD ...7761,-139.94
Transfers,Online Transfer,12/16/2025,Online,,ONLINE TRANSFER REF BBSRV5HDZSYHDH6VA7 TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-569.06
Dining,Fast Food,12/08/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 12/08 CHICK-FIL-A #03255 AURORA CO,VISA CARD ...9876,-19.57
Transfers,Zelle,2025-01-02,Online,ZELLE,ZELLE  TO    JANE  SMITH  ON  01/02  REF  #  FNDN8BHMBTPR  HELP,VISA CARD ...9876,-255.44
Food,Groceries,06/07/2025,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-124.72
Cash,ATM,2025-12-24,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 12/24 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-169.49
Online,Shopping,02/03/2025,Online,AMAZON,AMAZON MKTPL*JSQTNBS7A5 Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-120.63
Home,Mortgage,01/29/2025,Online,PENNYMAC,PENNYMAC         CASH Jan 25 8684364101-0009 CUSTOMER NAME,VISA CARD ...9876,-2288.59
Transfers,Zelle,2025-12-22,Online,ZELLE,ZELLE TO  JANE SMITH ON 12/22 REF # KU6NZCBNNUMQ SUPPORT,DEBIT CARD ...7761,-277.90
Food,Groceries,03/02/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 03/02 COSTCO WHSE #1652 DENVER CO,VISA CARD ...9876,-375.43
Food,Convenience,04/02/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 04/02 7-ELEVEN BOULDER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-6.12
Food,Groceries,2025-03-13,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 03/13 COSTCO GAS #1652 DENVER CO,VISA CARD ...9876,-83.63
Transfers,Zelle,08/24/2025,Online,ZELLE,  ZELLE  TO    CHRIS  PATEL  ON  08/24  REF  #  46LSPC7BE72X  SCHOOL   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-267.74
Food,Groceries,10/01/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 10/01 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-45.38
Utilities,Internet,07/30/2025,Online,COMCAST,  COMCAST-XFINITY  CABLE SVCS 250730 W8EXB62  CUSTOMER NAME   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-121.40
Online,Shopping,10/31/2025,Online,AMAZON,AMAZON MKTPL*F57VLNR5MR Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-41.63
Utilities,Internet,08/12/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250812 ZBKS7KS  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-121.70
Utilities,Internet,2025-05-13,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250513 BR89GAD  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-95.26
Transfers,Zelle,12/04/2025,Online,ZELLE,ZELLE TO  SAM TAYLOR ON 12/04 REF # 9FXQEX225QQS UTILITIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-335.74
Utilities,Mobile,02/24/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-20.83
Education,Student Loan,2025-12-14,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 251214 M2F72T6ZAHH     CUSTOMER NAME,VISA CARD ...9876,-422.61
Food,Groceries,02/13/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 02/13 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-55.37
Food,Groceries,2025-07-13,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 07/13 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-89.51
Rewards,Cash Back,06/26/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 150238966,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,79.57
Bills,Insurance,2025-02-25,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-165.00
Food,Groceries,04/28/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-30.75
Home,Mortgage,02/20/2025,Online,PENNYMAC,PENNYMAC         CASH Feb 25 8735184880-0009 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-2553.45
Food,Convenience,11/29/2025,Aurora CO,7-ELEVEN,  PURCHASE  AUTHORIZED  ON  11/29  7-ELEVEN  CENTENNIAL  CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-12.31
Food,Groceries,2025-05-18,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 05/18 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-396.67
Food,Groceries,12/02/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-63.08
Transport,Tolls,03/14/2025,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-5.92
Food,Groceries,05/04/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 05/04 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-30.10
Home,Mortgage,05/13/2025,Online,PENNYMAC,PENNYMAC                  CASH  May  25  8916792119-0002  CUSTOMER  NAME,DEBIT CARD ...7761,-2582.79
Transport,Tolls,08/09/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-5.41
Transport,Tolls,01/09/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-16.35
Education,Student Loan,05/04/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250504 WPFFB5AKBF2     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-151.28
Education,Student Loan,07/12/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250712 BKPZHPBWJQF     CUSTOMER NAME,DEBIT CARD ...7761,-314.41
Food,Groceries,09/19/2025,Denver CO,COSTCO GAS,  PURCHASE AUTHORIZED ON 09/19 COSTCO GAS #1652 DENVER CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-60.21
Food,Groceries,08/01/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  08/01  KING  SOOPERS  #0083  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-67.68
Utilities,Internet,08/28/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250828 Z26N3NE  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-75.03
Food,Groceries,10/22/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 10/22 COSTCO GAS #1652 DENVER CO,VISA CARD ...9876,-39.33
Transport,Tolls,06/04/2025,Denver CO,E 470 EXPRESS TOLLS,  E 470 EXPRESS TOLLS 303-5373470 CO   ,VISA CARD ...9876,-16.26
Dining,Fast Food,2025-09-15,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 09/15 CHICK-FIL-A #03255 AURORA CO,DEBIT CARD ...7761,-24.12
Food,Groceries,01/29/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 01/29 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-355.36
Food,Groceries,10/16/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 10/16 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-12.31
Transfers,Zelle,2025-08-13,Online,ZELLE,ZELLE TO  MARIA LOPEZ ON 08/13 REF # GH9QDXBQUS2Y UTILITIES,VISA CARD ...9876,-116.96
Food,Groceries,2025-05-01,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  05/01  COSTCO  GAS  #1652  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-29.37
Food,Groceries,2025-05-09,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 05/09 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-228.07
Rewards,Cash Back,07/18/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 108162164,VISA CARD ...9876,69.39
Transport,Tolls,10/04/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-11.61
Rewards,Cash Back,09/16/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 179665373,DEBIT CARD ...7761,73.60
Home,Mortgage,2025-04-01,Online,PENNYMAC,PENNYMAC         CASH Apr 25 8950636431-0003 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-2555.81
